S/N,REGION,DISTRICT,CONSTITUENCY,CANDIDATE,PARTY,COMMENT
113,EAST ANKOLE,IBANDA,IBANDA SOUTH,DR PAUL NINKUSIIMA,NRM,NEW
115,EAST ANKOLE,MBARARA,WOMAN MP,MARGRET RWEBYAMBU,NRM,NEW
116,EAST ANKOLE,MBARARA,KASHARI NORTH,BATARINGAYA BASIL RWANKWENE,NRM,NEW
118,EAST ANKOLE,MBARARA CITY,CITY WOMAN MP,ATUKWASA RITA,IND/NRM,NEW
119,EAST ANKOLE,MBARARA CITY,MBARARA CITY NORTH,MWESIGWA RUKARI,NRM,NEW
121,EAST ANKOLE,NTUNGAMO,WOMAN MP,KAMATENETI JOSYLINE,NRM,NEW
122,EAST ANKOLE,NTUNGAMO,RUSHENYI COUNTY,NAOME KABASHARIRA,NRM,NEW
123,EAST ANKOLE,NTUNGAMO,NTUNGAMO MUNICIPALITY,MUSINGUZI YOONA,NRM,NEW
124,EAST ANKOLE,NTUNGAMO,RUHAMA EAST,KAMUKAMA BENJAMIN,NRM,NEW
125,EAST ANKOLE,NTUNGAMO,RUHAMA,NKWASIBWE ZINKURATIRE HENRY,NRM,NEW
127,EAST ANKOLE,RWAMPARA,WOMAN MP,ASIIMWE MUSIIME MOLLY,NRM,NEW
128,EAST ANKOLE,RWAMPARA,RWAMPARA,KANKUNDA AMOS KIBWIKA,NRM,NEW
129,EAST ANKOLE,RWAMPARA,RWAMPARA EAST,TUSIIME JULIUS,IND/NRM,NEW
130,EAST ANKOLE,ISINGIRO,WOMAN MP,MUGUME CLARE,NRM,NEW
134,EAST ANKOLE,ISINGIRO,BUKANGA NORTH,HON. BYANYIMA NATHAN,NRM,NEW
135,EAST ANKOLE,ISINGIRO,ISINGIRO WEST,TUMWESIGYE ANTHONY,NRM,NEW
136,WEST ANKOLE,BUSHENYI,WOMAN MP,KATUSIIME ANNET MUGISHA,NRM,NEW
139,WEST ANKOLE,BUSHENYI,BUSHENYI-ISHAKA MUNICIPALITY,KABUURA DERRICK,NRM,NEW
140,WEST ANKOLE,MITOOMA,WOMAN MP,AGASHA JULIET BASHIISHA,NRM,NEW
145,WEST ANKOLE,BUHWEJU,BUHWEJU WEST,HON. BIRARO EPHRAIM,NRM,NEW
